Year,Disaster Type,Disaster Subtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Latitude,Longitude,Local Time,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI
1984,Volcanic activity,Ash fall,Zaltenango,Guatemala,GTM,Central America,Americas,Coastal provinces,,,,,1984,7,6,1984,7,6,,,3000,,3000,,,35.49688113
1987,Volcanic activity,Ash fall,Pacayo,Guatemala,GTM,Central America,Americas,,,,,16:00,1987,1,21,1987,1,25,,35,3000,,3035,,,38.82560081
1988,Volcanic activity,Ash fall,Lonquimay,Chile,CHL,South America,Americas,Lonquimay,,,,,1988,12,,1988,12,,,,2000,,2000,,,40.40880605
1988,Volcanic activity,Ash fall,Nevado Del Ruiz,Colombia,COL,South America,Americas,,,,,,1988,3,25,1988,3,25,,,1900,,1900,,,40.40880605
1980,Volcanic activity,Ash fall,Gamalama,Indonesia,IDN,South-Eastern Asia,Asia,Ternate Isl.,,,,,1980,9,4,1980,9,4,,,52235,,52235,,,28.15888663
1982,Volcanic activity,Ash fall,Mt. Soputan,Indonesia,IDN,South-Eastern Asia,Asia,Sulawesi,,,,,1982,8,26,1982,8,26,,,30000,,30000,,,32.97399781
1983,Volcanic activity,Ash fall,Mt. Gamkunoro,Indonesia,IDN,South-Eastern Asia,Asia,Halmahera Island,,,,,1983,6,28,1983,6,28,,,2500,,2500,,,34.03326363
1983,Volcanic activity,Ash fall,,Iceland,ISL,Northern Europe,Europe,South-East region,,,,,1983,5,29,1983,5,29,,,,,,,,34.03326363
1983,Volcanic activity,Ash fall,Mount Oyama,Japan,JPN,Eastern Asia,Asia,Miyake-Jima Island,,,,,1983,10,3,1983,10,3,,,4500,1100,5600,,,34.03326363
1983,Volcanic activity,Ash fall,Rabaul,Papua New Guinea,PNG,Melanesia,Oceania,,,-4.271,152.203,,1983,10,15,1983,10,15,,,25000,,25000,,,34.03326363
1984,Volcanic activity,Ash fall,Mt. Soputan,Indonesia,IDN,South-Eastern Asia,Asia,North Surawasi province,,,,,1984,5,25,1984,5,25,,,6000,,6000,,,35.49688113
1984,Volcanic activity,Ash fall,Mt. Karangetan,Indonesia,IDN,South-Eastern Asia,Asia,Siau Isl (North Sulawesi),,,,,1984,9,5,1984,9,5,,,17000,,17000,,,35.49688113
1984,Volcanic activity,Ash fall,Mt. Merapi,Indonesia,IDN,South-Eastern Asia,Asia,"Dukuh, Srumbung, Sawangan districts (Central Java)",,,,,1984,6,15,1984,6,15,,,5000,,5000,,,35.49688113
1984,Volcanic activity,Ash fall,Mount Krafla,Iceland,ISL,Northern Europe,Europe,,,,,,1984,9,5,1984,9,5,,,,,,,,35.49688113
1984,Volcanic activity,Ash fall,Mayon,Philippines (the),PHL,South-Eastern Asia,Asia,"Daraga, Legaspi, Guinobatan, Camalig, Ligao, Tabaco, Sto. Domingo, Malipilot municipalities (Albay province)",,,,,1984,9,10,1984,9,10,,,70000,,70000,,,35.49688113
1985,Volcanic activity,Ash fall,Mt. Sangeang,Indonesia,IDN,South-Eastern Asia,Asia,Ntb Prov.,,,,,1985,7,30,1985,7,30,,,1078,,1078,,,36.75546794
1986,Volcanic activity,Ash fall,Mount Mihara,Japan,JPN,Eastern Asia,Asia,Oshima Island,,,,,1986,11,21,1986,11,21,,,13000,,13000,,,37.45311166
1987,Volcanic activity,Ash fall,Mt. Mandosawu,Indonesia,IDN,South-Eastern Asia,Asia,Flores Isl.,,,,,1987,12,28,1987,12,28,,,13000,,13000,,,38.82560081
1988,Volcanic activity,Ash fall,Mt. Kiebessy,Indonesia,IDN,South-Eastern Asia,Asia,Makian Isl.,,,,,1988,7,17,1988,7,17,,,1570,,1570,,,40.40880605
1991,Volcanic activity,Ash fall,Mt Hudson,Argentina,ARG,South America,Americas,Santa Cruz,,45.54 S,72.58 W,,1991,8,13,1991,8,13,,,62000,1200,63200,,,46.53662061
1991,Volcanic activity,Ash fall,Kartala,Comoros (the),COM,Eastern Africa,Africa,Grande Comore,,,,,1991,7,3,1991,7,3,,,,200,200,,,46.53662061
1991,Volcanic activity,Ash fall,Pacaya,Costa Rica,CRI,Central America,Americas,San Vicente Pacaya (Escuintlia department),,14.40 N,90.60 W,,1991,8,8,1991,8,8,,,,,,,,46.53662061
1989,Volcanic activity,Ash fall,Mt. Soputan,Indonesia,IDN,South-Eastern Asia,Asia,Noongan,,,,,1989,4,23,1989,4,23,,,3000,,3000,,,42.35934309
1990,Volcanic activity,Ash fall,Sabancayo,Peru,PER,South America,Americas,Moyoyamba,,15.78 S,71.85 W,,1990,6,4,1990,6,4,,,4000,,4000,,,44.64587744
1991,Volcanic activity,Ash fall,Mt. Etna,Italy,ITA,Southern Europe,Europe,Zafferana,,37.734,15.004,,1991,12,15,1991,12,15,,,7000,,7000,,,46.53662061
1991,Volcanic activity,Ash fall,Poon Bato,Philippines (the),PHL,South-Eastern Asia,Asia,Zambales province,,,,,1991,4,5,1991,4,5,,,,2000,2000,,,46.53662061
1991,Volcanic activity,Ash fall,Taal,Philippines (the),PHL,South-Eastern Asia,Asia,Balangas province,,14 N,121 E,,1991,4,,1991,4,,,,,3800,3800,,,46.53662061
1992,Volcanic activity,Ash fall,Pacaya,Guatemala,GTM,Central America,Americas,,,14.40 N,90.60 W,,1992,1,8,1992,1,8,,,5000,,5000,,,47.94612964
1992,Volcanic activity,Ash fall,Unzen,Japan,JPN,Eastern Asia,Asia,Shimabara (Kyushu Isl.),,32.75 N,130.3 E,,1992,4,17,1992,4,17,,,40000,,40000,,,47.94612964
1992,Volcanic activity,Ash fall,Taal,Philippines (the),PHL,South-Eastern Asia,Asia,Lake Taal (55 km South Manilla),,14 N,121 E,,1992,2,14,1992,2,14,,,1578,,1578,,,47.94612964
1992,Volcanic activity,Ash fall,Manam,Papua New Guinea,PNG,Melanesia,Oceania,Manam Isl.,,-4.08,145.037,,1992,10,14,1992,10,14,,,,,,,,47.94612964
1994,Volcanic activity,Ash fall,Colima,Mexico,MEX,Central America,Americas,Jalisco State,,19.50 N,103.60 W,,1994,7,22,1994,7,22,,,700,,700,,,50.64840266
1994,Volcanic activity,Ash fall,Popocatepelt,Mexico,MEX,Central America,Americas,Puebla State,,19.02 N,98.62 W,,1994,12,21,1994,12,21,,,75000,,75000,,,50.64840266
1995,Volcanic activity,Ash fall,Fogo,Cabo Verde,CPV,Western Africa,Africa,Fogo Island,,,,,1995,4,3,1995,5,,,6,1300,5000,6306,,,52.06929869
1995,Volcanic activity,Ash fall,Chance's Peak,Montserrat,MSR,Caribbean,Americas,Plymouth and surrounding,,,,,1995,7,18,1995,12,,,,5000,,5000,,,52.06929869
1995,Volcanic activity,Ash fall,Mount Ruapehu,New Zealand,NZL,Australia and New Zealand,Oceania,North of the Island,,39.28 S,175.57 E,,1995,9,24,1995,9,24,,,70,,70,,,52.06929869
1995,Volcanic activity,Ash fall,Mt Pinatubo,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,1995,7,29,1995,7,30,,,,2500,2500,,,52.06929869
1996,Volcanic activity,Ash fall,Pacaya,Guatemala,GTM,Central America,Americas,Near Guatemala City,,14.4 N,90.6 W,,1996,11,11,1996,11,11,,,743,,743,,,53.59556085
1996,Volcanic activity,Ash fall,SoufriŠre,Montserrat,MSR,Caribbean,Americas,,,,,,1996,7,29,1996,7,29,,,4000,,4000,,,53.59556085
1998,Volcanic activity,Ash fall,Arenal,Costa Rica,CRI,Central America,Americas,,,10.50 N,84.70 E,,1998,5,5,1998,5,5,,,450,,450,,,55.69986281
1998,Volcanic activity,Ash fall,Pacaya,Guatemala,GTM,Central America,Americas,Near Guatemala City,,14.40 N,90.60 W,,1998,5,20,1998,5,20,,,600,,600,,,55.69986281
1998,Volcanic activity,Ash fall,Mt. Merapi,Indonesia,IDN,South-Eastern Asia,Asia,Jawa Tengah and Yogyakarta,,7.50 S,110.4 E,,1998,7,11,1998,7,11,,,6000,,6000,,,55.69986281
1998,Volcanic activity,Ash fall,"Mount Colima, Mount Popocatepel",Mexico,MEX,Central America,Americas,,,19.50 N,103.60 W,,1998,11,22,1998,11,22,,,758,,758,,,55.69986281
1996,Volcanic activity,Ash fall,Tavurvur,Papua New Guinea,PNG,Melanesia,Oceania,Rabaul Town,,4.3 S,152.2 E,,1996,10,6,1996,10,6,,,300,,300,,,53.59556085
1997,Volcanic activity,Ash fall,Adatara,Trinidad and Tobago,TTO,Caribbean,Americas,Piparo,,,,,1997,2,22,1997,2,22,,,,200,200,,,54.84845417
1999,Volcanic activity,Ash fall,Mont Cameroon,Cameroon,CMR,Middle Africa,Africa,"Idenau, Bakingili, Batoke",,4.2 N,9.17 E,,1999,4,4,1999,4,4,,,2500,510,3010,,,56.91858704
1999,Volcanic activity,Ash fall,"Guagua Pinchicha, Tungurahua",Ecuador,ECU,South America,Americas,"Ambato (Tungurahua Province), Riobamba (Chimborazo Province)",,0.17 S,78.6 W,,1999,9,,1999,9,,,,22000,2200,24200,,,56.91858704
1999,Volcanic activity,Ash fall,Mount Colima,Mexico,MEX,Central America,Americas,Jalisco,,19.51 N,103.62 W,,1999,2,,1999,2,,,,650,,650,,,56.91858704
1999,Volcanic activity,Ash fall,San Crist¢bal,Nicaragua,NIC,Central America,Americas,"La Bosla, La Mora, Las Rojas, Las Banderas, Santa Ursula, La Suiza, San Rafael, El Porvenir y Socorro, Valle, Los Morenos, San Benito, Villanueva",,12.7 N,87 W,,1999,11,20,1999,11,20,,,3500,,3500,,,56.91858704
1999,Volcanic activity,Ash fall,Cerro Negro,Nicaragua,NIC,Central America,Americas,Leon Department,,12.5 N,86.7 W,,1999,8,5,1999,8,5,,,2195,,2195,,,56.91858704
2000,Volcanic activity,Ash fall,Pacaya,Guatemala,GTM,Central America,Americas,"El Caracol, El Patrocinio, El Rodeo, San Francisco de Sales cities (San Vicente Pacaya district, Escuintla province)",,14.381,-90.601,16:15,2000,1,16,2000,1,16,,,800,,800,,,58.84064849
2000,Volcanic activity,Ash fall,Mt. Isu,Japan,JPN,Eastern Asia,Asia,"Abutatyoo, Datesi, Soobetutyoo districts (Hokkaidoo province)",,34.92,139.12,,2000,3,31,2000,4,13,,,12400,,12400,,,58.84064849
2000,Volcanic activity,Ash fall,Mt. Oyama,Japan,JPN,Eastern Asia,Asia,Miyakemura district (Tookyoo province),,,,,2000,8,10,2000,8,10,,,4000,,4000,,,58.84064849
2000,Volcanic activity,Ash fall,Popocat‚petl,Mexico,MEX,Central America,Americas,"Mexico, Puebla, Morelos provinces",,19.023,-98.622,19:22,2000,12,18,2000,12,19,,,41000,,41000,,,58.84064849
2002,Volcanic activity,Ash fall,Reventador,Ecuador,ECU,South America,Americas,"Pedro Mancayo, Cayambe, Quito, Ruminahui, Mejia districts (Pichincha province), Gonzalo Pizarro district (Sucumbios province), El Chaco, Quijos districts (Napo province)",,,,9:00,2002,11,3,2002,11,4,,,128150,,128150,,,61.46318826
2002,Volcanic activity,Ash fall,Tungurahua,Ecuador,ECU,South America,Americas,Banos de Angua Santa district (Tungurahua province),,-1.467,-78.442,,2002,10,2,2002,10,2,,,21500,,21500,,,61.46318826
2002,Volcanic activity,Ash fall,de Fuego,Guatemala,GTM,Central America,Americas,"Del Fuego volcano (Chimaltenango, Sacatep‚quez, Escuintla provinces)",,14.473,-90.88,,2002,2,13,2002,2,13,,,,,,,,61.46318826
2002,Volcanic activity,Ash fall,Mt. Papandayan,Indonesia,IDN,South-Eastern Asia,Asia,"Garut, Bandung (Jawa Barat province)",,,,,2002,11,11,2002,11,11,,,5000,,5000,,,61.46318826
2002,Volcanic activity,Ash fall,Colima,Mexico,MEX,Central America,Americas,"La Yerbabuena village (Cuauhtemoc district, Colima province)",,19.514,-103.62,,2002,2,6,2002,2,6,,,300,,300,,,61.46318826
2001,Volcanic activity,Ash fall,Lopevi,Vanuatu,VUT,Melanesia,Oceania,Paama island (Malampa province),,-16.507,168.346,15:00,2001,6,8,2001,6,8,,,4500,,4500,,,60.50357889
2001,Volcanic activity,Ash fall,Mt. Nyamuragira,Congo (the Democratic Republic of the),COD,Middle Africa,Africa,"Nord-Kivu, Sud-Kivu provinces",,-1.408,29.2,,2001,2,5,2001,2,5,,,,,,,,60.50357889
2002,Volcanic activity,Ash fall,Mt Pago,Papua New Guinea,PNG,Melanesia,Oceania,Kimbe district (West New Britain province),,,,,2002,7,2,2002,7,2,,,13000,,13000,,,61.46318826
2003,Volcanic activity,Ash fall,Tungurahua,Ecuador,ECU,South America,Americas,"Guano, Penipe districts (Chimborazo province), Cevallos, Mocha, Quero, San Pedro de Pelileo, Tisaleo districts (Tungurahua province)",,-1.467,-78.442,,2003,6,5,2003,7,5,,,25000,,25000,,,62.8584595
2004,Volcanic activity,Ash fall,Mt. Egon,Indonesia,IDN,South-Eastern Asia,Asia,Sikka district (Nusatenggara Timur province),,,,,2004,1,29,2004,1,29,,,4615,,4615,,,64.54132928
2004,Volcanic activity,Ash fall,Mt. Awu,Indonesia,IDN,South-Eastern Asia,Asia,"Tahuna, Kendahe, Tabukan Utara sub-districts (Kepulauan-sangihe districts, Sulawesi Utara province)",,,,9:10,2004,6,1,2004,6,7,,100,16728,,16828,,,64.54132928
2004,Volcanic activity,Ash fall,Mt. Egon,Indonesia,IDN,South-Eastern Asia,Asia,Sikka district (Nusatenggara Timur province),,,,,2004,9,4,2004,9,4,,,2100,,2100,,,64.54132928
2005,Volcanic activity,Ash fall,Karthala,Comoros (the),COM,Eastern Africa,Africa,"Dimani, Pidjani villages (Ngazidja province)",,,,,2005,4,16,2005,4,16,,,39000,,39000,,,66.73105799
2005,Volcanic activity,Ash fall,Mt. Talang,Indonesia,IDN,South-Eastern Asia,Asia,Solok district (Sumatera Barat province),,,,,2005,4,12,2005,4,12,,,26000,,26000,,,66.73105799
2003,Volcanic activity,Ash fall,Mt Anatahan,Northern Mariana Islands (the),MNP,Micronesia,Oceania,Anatahan island (Administrative unit not available province),,,,,2003,5,10,2003,5,10,,,,,,,,62.8584595
2004,Volcanic activity,Ash fall,,Papua New Guinea,PNG,Melanesia,Oceania,Bogia district (Madang province),,,,,2004,10,,2004,11,,,,9600,,9600,,,64.54132928
2005,Volcanic activity,Ash fall,Galeras,Colombia,COL,South America,Americas,"Consacra, Pasto, Sandona, Tangua, Yacuanquer districts (Nari¤o province)",,1.22,-77.37,,2005,11,24,2005,11,24,,,,,,,,66.73105799
2005,Volcanic activity,Ash fall,Mount Arteala,Ethiopia,ETH,Eastern Africa,Africa,Zone 4 district (Afar province),,12.623,40.46,,2005,9,,2005,10,,,,9000,,9000,,,66.73105799
2006,Volcanic activity,Ash fall,Galeras,Colombia,COL,South America,Americas,"Pasto, La Florida districts (Nari¤o province)",,,,,2006,3,28,2006,7,12,,,8500,,8500,,,68.88375871
2006,Volcanic activity,Ash fall,Mount Galeras,Colombia,COL,South America,Americas,"La Florida, Ancuya, Sandona, Consaca districts (Nari¤o province)",,,,14:30,2006,7,12,2006,7,12,,,8500,,8500,,,68.88375871
2006,Volcanic activity,Ash fall,Karthala,Comoros (the),COM,Eastern Africa,Africa,Ngazidja province,,,,,2006,5,28,2006,5,28,,,,,,,,68.88375871
2006,Volcanic activity,Ash fall,Tungurahua,Ecuador,ECU,South America,Americas,"Cusua village ; Tungurahua, Chimborazo provinces",,-1.467,-78.442,,2006,5,10,2006,5,23,,,250,,250,,,68.88375871
2006,Volcanic activity,Ash fall,Mt. Merapi,Indonesia,IDN,South-Eastern Asia,Asia,"Boyolali, Magelang, Kota Magelang, Kota Klaten, Klaten districts (Jawa Tengah province), Sleman district (Daerah Istimewa Yogyakarta province)",,,,,2006,4,18,2006,5,15,,,11000,,11000,,,68.88375871
2007,Volcanic activity,Ash fall,Nevado del Huila,Colombia,COL,South America,Americas,"Tierradentro town (Inza district, Cauca province), Paez Belalc zar, Avirama, Cohetando, Toez, Vitonco, Yosayo, Mosoco, San Jose, Lame, Suin, Chinas, Buco towns (Paez district, Cauca province), Caloto district (Cauca province) La Plata, Paicol, Iquira, Teruel, Tesalia and Nataga districts (Huila province)",,2.93,-76.03,,2007,4,18,2007,4,18,,,3000,,3000,,,70.8487927
2005,Volcanic activity,Ash fall,"Langila, Manam",Papua New Guinea,PNG,Melanesia,Oceania,"Aitavala, Masele, Kilenge, Ongaea, Potne, Sumel, Vem, Galegale, Tauale, Laut, Aimaga, Aipate, Gie villages (Gloucester district, West New Britain province)",,-4.08,145.037,,2005,6,2,2005,6,10,,,15000,,15000,,,66.73105799
2005,Volcanic activity,Ash fall,Mt. Ambae,Vanuatu,VUT,Melanesia,Oceania,Ambae island (Penama province),,-16.507,168.346,,2005,11,27,2005,11,27,,,5000,,5000,,,66.73105799
2006,Volcanic activity,Ash fall,Soufriere,Montserrat,MSR,Caribbean,Americas,"Belham valley (Central, Salem provinces)",,,,,2006,12,26,2006,,,,,200,,200,,,68.88375871
2006,Volcanic activity,Ash fall,Ubinas,Peru,PER,South America,Americas,"Ubinas, Matalaque, Chojata, Lloque, Yunga, Ichuna, Coalaque, La Capilla, Omate, Puquina, Quinistaquillas municipalities (General Sanchez Cerro districts, Moquegua province), San Juan de Taracuni municipality (Arequipa district ,Arequipa province)",,-16.355,-70.9,,2006,3,27,2006,4,23,,,3000,,3000,,,68.88375871
2006,Volcanic activity,Ash fall,Mt. Mayon,Philippines (the),PHL,South-Eastern Asia,Asia,"Sto Domingo, Daraga, Camalig, Ligao, Legazpi City, Tabaco, Malilipot, Guinobatan areas (Albay district, Region V (Bicol region) province)",,13.257,123.685,,2006,8,13,2006,8,13,,,43849,,43849,,,68.88375871
2006,Volcanic activity,Ash fall,Tavurvur,Papua New Guinea,PNG,Melanesia,Oceania,"Kokopo, Rabaul districts (East New Britain province)",,,,8:45,2006,10,7,2006,10,7,,,1221,,1221,,,68.88375871
2006,Volcanic activity,Ash fall,Karai,Papua New Guinea,PNG,Melanesia,Oceania,"Kaiamu, Malasi, Sulu, Silali villages (Bialla district, West New Britain province)",,,,,2006,7,13,2006,7,13,,,2078,,2078,,,68.88375871
2006,Volcanic activity,Ash fall,Lopevi,Vanuatu,VUT,Melanesia,Oceania,"Paama, Ambrym villages (Malampa province)",,-16.507,168.346,,2006,5,9,2006,5,9,,,,,,,,68.88375871
2007,Volcanic activity,Ash fall,Mt. Gamkonora,Indonesia,IDN,South-Eastern Asia,Asia,"South Ibu sub-district (Halmahera Barat district, Maluku Utara province)",,,,14:50,2007,7,9,2007,7,9,,,9758,,9758,,,70.8487927
2007,Volcanic activity,Ash fall,Mt. Kelud,Indonesia,IDN,South-Eastern Asia,Asia,"Kediri, Blitar districts (Jawa Timur province)",,-7.93,112.308,,2007,10,16,2007,10,18,,,22154,,22154,,,70.8487927
2008,Volcanic activity,Ash fall,Chaiten,Argentina,ARG,South America,Americas,"Bariloche district (Rio Negro Province), Chubut province",,-42.833,-72.65,,2008,5,7,2008,5,7,,,,,,,,73.56874554
2008,Volcanic activity,Ash fall,Chaiten,Chile,CHL,South America,Americas,"Chaiten, Futaleufu towns (Palena district, Los Lagos province)",,-42.833,-72.65,,2008,5,2,2008,5,6,,,8000,,8000,,,73.56874554
2008,Volcanic activity,Ash fall,Mount Galeras,Colombia,COL,South America,Americas,"Genoy town (Pasto distrit, Nari¤o Province), Sandona, Yacuanquer, Consaca districts (Nari¤o Province)",,,,20:06,2008,1,17,2008,1,17,,,150,,150,,,73.56874554
2008,Volcanic activity,Ash fall,Nevado del Huila,Colombia,COL,South America,Americas,"Miranda, Toribio, Paez, Inza districts (Cauca province), Iquira, Santa Maria, Palermo, Teruel, La Plata, Paicol, Tesalia, Nataga districts (Huila province), Rioblanco, Planadas districts (Tolima province)",,,,,2008,4,14,2008,4,14,,,14201,,14201,,,73.56874554
2008,Volcanic activity,Ash fall,Mt. Egon,Indonesia,IDN,South-Eastern Asia,Asia,Sikka district (Nusatenggara Timur province),,,,,2008,4,15,2008,4,15,,,600,,600,,,73.56874554
2007,Volcanic activity,Ash fall,Mt. Bulusan,Philippines (the),PHL,South-Eastern Asia,Asia,"Irosin area (Sorsogon district, Region V (Bicol region) province)",,12.77,124.05,,2007,7,31,2007,7,31,,,14036,,14036,,,70.8487927
2008,Volcanic activity,Ash fall,Mt. Ambrym,Vanuatu,VUT,Melanesia,Oceania,Ambrym island (Malampa province),,,,,2008,12,,2009,4,,,,9000,,9000,,,73.56874554
2010,Volcanic activity,Ash fall,Eyjafjallajokull,Iceland,ISL,Northern Europe,Europe,"ÿFljotshlid,ÿEyjafj”ll, andÿLandeyjar villages (Rangarvalla province)",,63.62959,-19.64,,2010,3,,2010,4,,,,,,,,,74.50944408
2010,Volcanic activity,Ash fall,Tungurahua,Ecuador,ECU,South America,Americas,"Tungurahua, Chimborazo, Bolivar, Pastaza, Los Rios, Guayas provinces",,-1.467,-78.442,,2010,5,28,2010,5,28,,,2500,,2500,,,74.50944408
2010,Volcanic activity,Ash fall,Pacaya volcano,Guatemala,GTM,Central America,Americas,"Escuintla, Guatemala, Sacatep‚quez provinces",,14.381,-90.601,19:00,2010,5,27,2010,5,27,,,1800,,1800,,,74.50944408
2011,Volcanic activity,Ash fall,"Volcano ""Puyehue""",Chile,CHL,South America,Americas,"Futrono, Lago Ranco, Rio Bueno towns (Ranco district, Los Rios province)",,-40.59,-72.12,,2011,6,4,2011,6,17,,,3500,,3500,,,76.86159538
2009,Volcanic activity,Ash fall,Mt. Mayon,Philippines (the),PHL,South-Eastern Asia,Asia,"Camalig, Daraga, Legaspi city, Tabaco, Malilipot, Santo Domingo, Ligao, Guinobatan areas (Albay district, Region V (Bicol region) province)",,13.257,123.685,,2009,12,14,2009,12,20,,,47137,,47137,,,73.30717672
2010,Volcanic activity,Ash fall,Mt. Bulusan,Philippines (the),PHL,South-Eastern Asia,Asia,"Casiguran, Juban, Irosin, Magallanes areas (Sorsogon district, Region V (Bicol region) province)",,12.77,124.05,,2010,11,9,2010,11,9,,,14161,,14161,,,74.50944408
2011,Volcanic activity,Ash fall,Mt. Bulusan,Philippines (the),PHL,South-Eastern Asia,Asia,"Irosin, Juban, Bulan areas (Sorsogon district, Region V (Bicol region) province)",,12.77,124.05,,2011,2,21,2011,2,21,,,32616,,32616,,,76.86159538
2009,Volcanic activity,Ash fall,Mt. Garet,Vanuatu,VUT,Melanesia,Oceania,Gaua island (Torba province),,,,,2009,11,26,2009,11,26,,,400,,400,,,73.30717672
2011,Volcanic activity,Ash fall,Mt. Lokon,Indonesia,IDN,South-Eastern Asia,Asia,"Kota Manado, Kota Tomohon, Minahasa Selatan, Minahasa Utara, Minahasa districts (Sulawesi Utara province)",,1.358333,124.79,,2011,7,11,2011,7,17,,,,6000,6000,,,76.86159538
2012,Volcanic activity,Ash fall,,Guatemala,GTM,Central America,Americas,"Sacatep‚quez, Escuintla and Chimaltenango provinces",,,,,2012,9,13,2012,9,13,,,10000,,10000,,,78.45211388
2013,Volcanic activity,Ash fall,Mt. Sinabung,Indonesia,IDN,South-Eastern Asia,Asia,Karo district (Sumatera Utara province),,3.17,98.392,,2013,9,,2013,12,,,,29727,,29727,,,79.60130942
2011,Volcanic activity,Ash fall,Mt. Taal,Philippines (the),PHL,South-Eastern Asia,Asia,"Talisay, San Nicolas, Balete areas (Batangas district, Region IV-A (Calabarzon) province)",,14.002,120.993,,2011,3,17,2011,4,18,,,1315,,1315,,,76.86159538
2013,Volcanic activity,Ash fall,Mount Ubinas,Peru,PER,South America,Americas,"Arequipa district (Arequipa province), General Sanchez Cerro district (Moquagua province)",,,,,2013,9,12,2014,5,23,,,1040,,1040,,,79.60130942
2013,Volcanic activity,Ash fall,Chaparrastique Volcano,El Salvador,SLV,Central America,Americas,"Chinameca, San Joge, El Transito, San Rafael de Oriente districts (San Miguel province)",,,,6:30,2013,12,29,2013,12,29,,,63079,,63079,,,79.60130942
2014,Volcanic activity,Lava flow,Pico do Fogo,Cabo Verde,CPV,Western Africa,Africa,"Bangaeira, Djeu Lorna, Portela, Cha das Caldeiras villages (Sao Filipe district, Fogo province)",,,,10:00,2014,11,23,2015,1,31,,,2500,,2500,,,80.89262372
2015,Volcanic activity,Ash fall,Calbuco,Argentina,ARG,South America,Americas,"San Carlos de Bariloche town (Bariloche district, Rio Negro province)",,,,,2015,4,24,2015,4,24,,,,,,,,80.98857899
2015,Volcanic activity,Ash fall,Villarrica,Chile,CHL,South America,Americas,"Vallarica, Pucon, Cararrehue municipalities, Temuco town (Cautin district, Araucania province), Conaripe municipality (Valdivia district, Los Rios province)",,,,,2015,3,,2015,3,,,,3600,,3600,,,80.98857899
2015,Volcanic activity,Ash fall,Turrialba,Costa Rica,CRI,Central America,Americas,Turrialba district (Cartago province),,,,,2015,3,12,2015,3,12,,,18450,,18450,,,80.98857899
2015,Volcanic activity,Lava flow,Cotopaxi,Ecuador,ECU,South America,Americas,"Cotopaxi, Napo, Pichincha provinces",,-0.677,-78.436,,2015,8,14,2015,8,22,,,800000,,800000,,,80.98857899
2015,Volcanic activity,,Tungurahua,Ecuador,ECU,South America,Americas,"Cotal¢, Chacauco, Pillate, Chontapamba, Chonglontus, C£sua, Juive, Bilbao, Pelileo, Quero, Mocha, Cevallos , Ambato; Tungurahua, Chimborazo provinces",,-1.467,-78.442,,2015,11,17,2016,3,,,,130042,,130042,,,80.98857899
2014,Volcanic activity,,Mt. Mayon,Philippines (the),PHL,South-Eastern Asia,Asia,"Tabaco, Ligao, Legazpi city, Malilipot, Daraga, Camalig, Guinobatan, Sto. Domingo areas (Albay district, Region V (Bicol region) province)",,13.257,123.685,,2014,9,16,2014,12,3,,,60545,,60545,,,80.89262372
2014,Volcanic activity,Ash fall,Mt. Bagana,Papua New Guinea,PNG,Melanesia,Oceania,"Arawa, Buin, Sohano districts, Northern Solomons province",,,,,2014,8,9,2014,8,9,,,1380,,1380,,,80.89262372
2017,Volcanic activity,,Mt. Agung,Indonesia,IDN,South-Eastern Asia,Asia,Bali (Karangasem),,,,,2017,9,22,2017,11,28,,,133349,,133349,,,83.75725455
2018,Volcanic activity,Ash fall,Mt. Agung,Indonesia,IDN,South-Eastern Asia,Asia,,,,,,2018,1,14,2018,1,14,,,50000,,50000,,,85.80302606
2018,Volcanic activity,,,Papua New Guinea,PNG,Melanesia,Oceania,"Manot, Taragauo, Dong Sarakbano, Niukatnam, Rumgio (Kadovar islands)",,,,,2018,1,5,2018,1,6,,,736,,736,,,85.80302606
2019,Volcanic activity,Ash fall,Mount Ulawun and Manam,Papua New Guinea,PNG,Melanesia,Oceania,West New Britain,,,,,2019,6,28,2019,6,28,,,15800,,15800,,,87.35800677
2017,Volcanic activity,Ash fall,Mt Monaro,Vanuatu,VUT,Melanesia,Oceania,"Ambae, Ni-Vanuatu island",,,,,2017,9,23,2017,10,2,,,11000,,11000,,,83.75725455
2018,Volcanic activity,Ash fall,Ambryn,Vanuatu,VUT,Melanesia,Oceania,Malampa province,,,,,2018,12,15,2018,12,18,,,7286,,7286,,,85.80302606
2018,Volcanic activity,Ash fall,Aoba (Manaro Voui),Vanuatu,VUT,Melanesia,Oceania,Ambae,,,,,2018,3,,2018,5,,,,6300,,6300,,,85.80302606
2019,Volcanic activity,Ash fall,Ubinas,Bolivia (Plurinational State of),BOL,South America,Americas,"Lake Titicaca on the Peru-Bolivia border, La Paz department",,,,,2019,7,19,2019,7,23,,,3000,,3000,,,87.35800677
2020,Volcanic activity,Ash fall,Sangay,Ecuador,ECU,South America,Americas,"Chimborazo, Bolivar, Guayas, Los R¡os, Santa Elena, Manab¡",,,,,2020,9,20,2020,9,20,,,18685,,18685,,,88.43564081
